date,week,species,treatment,trial,plant,leaf,stomata_count,fov_mm
1-Mar,4,P,A,1,8,1,17,0.2
1-Mar,4,P,A,1,8,1,18,0.2
1-Mar,4,P,A,1,8,2,17,0.2
1-Mar,4,P,A,1,8,2,16,0.2
1-Mar,4,P,A,1,8,2,18,0.2
1-Mar,4,P,A,1,9,1,15,0.2
1-Mar,4,P,A,1,9,1,10,0.2
1-Mar,4,P,A,1,9,1,11,0.2
1-Mar,4,P,A,1,9,2,11,0.2
1-Mar,4,P,A,1,9,2,10,0.2
1-Mar,4,P,A,1,9,2,15,0.2
1-Mar,4,P,A,1,10,1,12,0.2
1-Mar,4,P,A,1,10,1,15,0.2
1-Mar,4,P,A,1,10,1,15,0.2
1-Mar,4,P,A,1,10,2,10,0.2
1-Mar,4,P,A,1,10,2,13,0.2
1-Mar,4,P,A,1,10,2,14,0.2
15-Mar,1,P,C,2,11,1,5,0.2
15-Mar,1,P,C,2,11,1,5,0.2
15-Mar,1,P,C,2,11,1,6,0.2
15-Mar,1,P,C,2,11,2,8,0.2
15-Mar,1,P,C,2,11,2,5,0.2
15-Mar,1,P,C,2,11,2,6,0.2
15-Mar,1,P,C,2,12,1,10,0.2
15-Mar,1,P,C,2,12,1,10,0.2
15-Mar,1,P,C,2,12,1,7,0.2
15-Mar,1,P,C,2,12,2,10,0.2
15-Mar,1,P,C,2,12,2,10,0.2
15-Mar,1,P,C,2,12,2,12,0.2
15-Mar,1,P,C,2,13,1,4,0.2
15-Mar,1,P,C,2,13,1,5,0.2
15-Mar,1,P,C,2,13,1,5,0.2
15-Mar,1,P,C,2,13,2,6,0.2
15-Mar,1,P,C,2,13,2,5,0.2
15-Mar,1,P,C,2,13,2,6,0.2
15-Mar,1,P,C,2,14,1,6,0.2
15-Mar,1,P,C,2,14,1,6,0.2
15-Mar,1,P,C,2,14,1,7,0.2
15-Mar,1,P,C,2,14,2,7,0.2
15-Mar,1,P,C,2,14,2,7,0.2
15-Mar,1,P,C,2,14,2,5,0.2
15-Mar,1,P,C,2,15,1,6,0.2
15-Mar,1,P,C,2,15,1,5,0.2
15-Mar,1,P,C,2,15,1,7,0.2
15-Mar,1,P,C,2,15,2,4,0.2
15-Mar,1,P,C,2,15,2,7,0.2
15-Mar,1,P,C,2,15,2,5,0.2
15-Mar,1,P,C,2,16,1,6,0.2
15-Mar,1,P,C,2,16,1,4,0.2
15-Mar,1,P,C,2,16,1,6,0.2
15-Mar,1,P,C,2,16,2,6,0.2
15-Mar,1,P,C,2,16,2,8,0.2
15-Mar,1,P,C,2,16,2,8,0.2
15-Mar,1,P,C,2,17,1,6,0.2
15-Mar,1,P,C,2,17,1,7,0.2
15-Mar,1,P,C,2,17,1,5,0.2
15-Mar,1,P,C,2,17,2,5,0.2
15-Mar,1,P,C,2,17,2,5,0.2
15-Mar,1,P,C,2,17,2,7,0.2
15-Mar,1,P,C,2,18,1,6,0.2
15-Mar,1,P,C,2,18,1,5,0.2
15-Mar,1,P,C,2,18,1,7,0.2
15-Mar,1,P,C,2,18,2,5,0.2
15-Mar,1,P,C,2,18,2,5,0.2
15-Mar,1,P,C,2,18,2,8,0.2
15-Mar,1,P,C,2,19,1,7,0.2
15-Mar,1,P,C,2,19,1,8,0.2
15-Mar,1,P,C,2,19,1,7,0.2
15-Mar,1,P,C,2,19,2,9,0.2
15-Mar,1,P,C,2,19,2,7,0.2
15-Mar,1,P,C,2,19,2,6,0.2
15-Mar,1,P,C,2,20,1,8,0.2
15-Mar,1,P,C,2,20,1,10,0.2
15-Mar,1,P,C,2,20,1,6,0.2
15-Mar,1,P,C,2,20,2,8,0.2
15-Mar,1,P,C,2,20,2,8,0.2
15-Mar,1,P,C,2,20,2,8,0.2
15-Mar,1,P,A,2,11,1,9,0.2
15-Mar,1,P,A,2,11,1,7,0.2
15-Mar,1,P,A,2,11,1,9,0.2
15-Mar,1,P,A,2,11,2,9,0.2
15-Mar,1,P,A,2,11,2,11,0.2
15-Mar,1,P,A,2,11,2,10,0.2
15-Mar,1,P,A,2,12,1,7,0.2
15-Mar,1,P,A,2,12,1,5,0.2
15-Mar,1,P,A,2,12,1,8,0.2
15-Mar,1,P,A,2,12,2,7,0.2
15-Mar,1,P,A,2,12,2,9,0.2
15-Mar,1,P,A,2,12,2,8,0.2
15-Mar,1,P,A,2,13,1,7,0.2
15-Mar,1,P,A,2,13,1,5,0.2
15-Mar,1,P,A,2,13,1,6,0.2
15-Mar,1,P,A,2,13,2,6,0.2
15-Mar,1,P,A,2,13,2,7,0.2
15-Mar,1,P,A,2,13,2,8,0.2
15-Mar,1,P,A,2,14,1,7,0.2
15-Mar,1,P,A,2,14,1,7,0.2
15-Mar,1,P,A,2,14,1,6,0.2
15-Mar,1,P,A,2,14,2,6,0.2
15-Mar,1,P,A,2,14,2,4,0.2
15-Mar,1,P,A,2,14,2,6,0.2
15-Mar,1,P,A,2,15,1,6,0.2
15-Mar,1,P,A,2,15,1,6,0.2
15-Mar,1,P,A,2,15,1,6,0.2
15-Mar,1,P,A,2,15,2,7,0.2
15-Mar,1,P,A,2,15,2,9,0.2
15-Mar,1,P,A,2,15,2,10,0.2
15-Mar,1,P,A,2,16,1,8,0.2
15-Mar,1,P,A,2,16,1,11,0.2
15-Mar,1,P,A,2,16,1,9,0.2
15-Mar,1,P,A,2,16,2,9,0.2
15-Mar,1,P,A,2,16,2,12,0.2
15-Mar,1,P,A,2,16,2,11,0.2
